"Nom scientifique";"Numéro CAS";"Numéro CIPAC"
"Acides résiniques et acides colophanes hydrogénés, esters avec le pentaérythritol";64365-17-9;264-848-5
"Carbamic acid, [4-[[4-[(4-hydroxyphényl) azo]-2-méthylphényl]azo]phényl]-, méthyl ester";6465-02-7;
"Bromocrésol violet";115-40-2;204-087-8
"4,4'-[2,2-Propanediylbis(4,1-phénylèneimino)]bis(1-amino-9,10-dioxo-9,10-dihydro-2-anthracènesulfonate) de disodium";6471-01-8;
"Bis{[4-hydroxy-3,5-bis(2-méthyl-2-propanyl)benzyl]phosphonate d'éthyle} et de calcium";65140-91-2;265-512-0
Kétoconazole;65277-42-1;
"1-Naphtalénol, 4 - [(4-éthoxyphényl) azo] -";6535-42-8;
"Rosin, Hydrogéné";65997-06-0;266-041-3
"Ester de glycérol de la colophane hydrogénée et de la colophane disproportionnée";65997-13-9;266-042-9
"Cytidine, n-benzoyl-5'-o- [bis (4-méthoxyphényl) phénylméthyl] -2'-deoxy-";67219-55-0;266-605-9
"Peroxyde, (3,3,5-triméthylcyclohexylidène) bis [(1,1-diméthyléthyl)";6731-36-8;229-782-3
"Stannane, [(2-octyl-1,4-dioxo-1,4-butanediyl) bis(oxy)]bis[tributyl-";67701-37-5;
(4-Anilino-1-naphtyl){bis[4-(diméthylamino)phényl]}méthanol;6786-83-0;229-851-8
3,5-Dichloro-N-(3,4-dichlorophényl)-2-hydroxybenzamide;1154-59-2;214-576-8
"N-[3-(Diméthylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadécafluoro-1-heptanesulfonamide, chlorhydrate (1:1)";67940-02-7;
"Carbamic acid, [2-[(2-chloro-4-nitrophényl) azo]-5-(diethylamino)phényl]-, 2-éthoxyethyl ester";68214-66-4;
"Acide 5-méthyl-2-({4-[(4-méthylphényl)amino]-9,10-dioxo-9,10-dihydro-1-anthracényl}amino)benzènesulfonique, ammoniate (1:1)";68227-79-2;
"Acide 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadécafluoro-1-heptanesulfonique, ammoniate (1:1)";68259-07-4;
1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadécafluoro-N-méthyl-1-heptanesulfonamide;68259-14-3;
1,1,2,2,3,3,4,4,5,5,6,6,6-Tridécafluoro-N-méthyl-1-hexanesulfonamide;68259-15-4;
1,1,2,2,3,3,4,4,5,5,5-Undécafluoro-N-méthyl-1-pentanesulfonamide;68298-13-5;
"Amines, alkyles de suif, éthoxylés, phosphates";68308-48-5;
"Strychnidine-10-one, 2,3-diméthoxy, composé avec (S)-mono(1-méthylheptyl)-1,2-benzènedicarboxylate (1:1)";68310-42-9;
"Alcools, C8-14, γ-ω-perfluoro";68391-08-2;269-927-8
"(Butylphényle)bis(2,6-dichlorobenzoyle)- oxyde de phosphine";117310-64-2;646-415-6
"4-Amino-5-hydroxy-6-({4'-[(4-hydroxyphényl)diazényl]-3,3'-diméthyl-4-biphénylyl}diazényl)-3-[(4-nitrophényl)diazényl]-2,7-naphtalènedisulfonate de disodium";68400-36-2;
"2-Propanone, produits de réaction avec la diphénylamine";68412-48-6;270-192-0
"Acide phosphonique, dérivés perfluoroalkyles en C6-12.";68412-68-0;
"Amines, C18-22-tert-alkyle, éthoxylées";68443-10-7;
"Hydrocarbures, C>3";68476-44-8;
"Huiles lubrifiantes raffinées usagées";68476-77-7;
"1,4-Benznenediamine, n, n'-mixed tolyl et xylyl dérivés.";68478-45-5;
"Phénol méthylstyréné";68512-30-1;700-960-7
"Propanenitrile, 3-[[2-(acétyloxy)éthyl][4- [(2-chloro-4-nitrophényl)azo]-3-méthylphényl]amino ]-";68516-64-3;
"Acides gras ramifiés en C6-19, sels de zinc";68551-44-0;271-378-4
"2-[(3,5-Dibromo-4-hydroxyphényl)(3,5-dibromo-4-oxo-2,5-cyclohexadién-1-ylidène)méthyl]benzoate d'éthyle";1176-74-5;214-645-2
"1-Pentanesulfonamide, N-éthyl-1,1,2,2,3,3,4,4,5, 5,5-undécafluoro-N-(2-hydroxyéthyl)-";68555-72-6;
"1-Heptanesulfonamide, N-Éthyl-1,1,2,2,3,3,4,4,5, 5,6,6,7,7,7-Pentadécafluoro-N-(2-Hydroxyéthyl)-";68555-73-7;
"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6- Tridécafluoro-N-(2-Hydroxyéthyl)-N-Méthyl-";68555-75-9;
"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadécafluoro-N-(2-Hydroxyéthyl)-N-Méthyl-";68555-76-0;
"Éthanamine, N-éthyl-N-hydroxy-, produits de réaction avec l'hexaméthylcyclotrisiloxane, la silice et la 1,1,1-triméthyl-N-(triméthylsilyl)silanamine";68583-58-4;
"Acides résiniques et acides colophanes hydrogénés, esters avec le triéthylèneglycol";68648-53-3;271-996-4
"Acétamide, N-[2-[(2-bromo-4,6-dinitrophényl)azo]-5-[(2-cyanoéthyl)-2-propénylamino]-4-méthoxyphényl]-";68877-63-4;
"Benzèneméthanol, 3,5-bis(1,1-diméthyléthyl)-4-hydroxy-, produits de réaction avec le 1,3,5-triméthylbenzène";68910-11-2;
"Benzénamine, N-phényl-, produits de réaction avec le styrène et le 2,4,4-triméthylpentène";68921-45-9;272-940-1
"Ofloxacin hydrochloride";118120-51-7;
"Silanamine, 1,1,1-triméthyl-N-(triméthylsilyl)-, produits de réaction avec l'ammoniac, l'octaméthylcyclotétrasiloxane et la silice";68937-51-9;
"Cires de paraffine et cires d'hydrocarbures, chloro, produits de réaction avec le naphtalène";68938-42-1;
"Siloxanes et silicones, 3-cyanopropyl Me, di-Me";68938-51-2;
"Siloxanes et silicones, Me 3,3,3-trifluoropropyle, Me vinyle, à terminaison hydroxy";68952-02-3;
"1-Heptanesulfonamide, N-Éthyl-1,1,2,2,3,3,4,4,5, 5,6,6,7,7,7-Pentadécafluoro-";68957-62-0;
"Siloxanes et silicones, di-Me, produits de réaction avec Me hydrogénosiloxanes et 1,1,3,3-tétraméthyldisiloxane";69430-47-3;
"9,10-Anthracènedione, 1-Amino-4-[[3-[(Diméthylamino)Méthyl]Phényl]Amino]-, Monochlorhydrate";69695-75-6;
"Acide 3-[4-(diéthylamino)-2-éthoxyphényl]-3-(1-éthyl-2-méthyl-1H-indol-3-yl)-1,3-dihydro-1-oxo-5-isobenzofurancarboxylique, ester éthylique";69898-66-4;
"Acide 1-[4-(diéthylamino)-2-éthoxyphényl]-1-(1-éthyl-2-méthyl-1H-indol-3-yl)-1,3-dihydro-3-oxo-5-isobenzofurancarboxylique, ester éthylique";69898-67-5;
"Acide benzènesulfonique, [(9,10-dihydro-9,10-dioxo- 1,4-anthracènediyl)bis(imino-4,1-phénylèneoxy)]bis -, sel disodique";70161-19-2;
"Alcènes, C12-14, produits d'hydroformylation, distn. résidus, éthoxylés, dihydrogénophosphates, sels de sodium";119209-64-2;
"2-Naphtalènesulfonamide, N-[2-(acétyloxy)éthyl]-6- hydroxy-N-méthyl-5-[[4-(phénylazo)phényl]azo]-";70210-08-1;
"Acide 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadécafluoro-1-heptanesulfonique - 2,2'-iminodiéthanol (1:1)";70225-15-9;
"Bis{3-[4-hydroxy-3,5-bis(2-méthyl-2-propanyl)phényl]propanoate} de (1,2-dioxo-1,2-éthanediyl)bis(imino-2,1-éthanediyle)";70331-94-1;274-572-7
4-[(E)-(2-Bromo-4,6-dinitrophényl)diazényl]-N-(3-méthoxypropyl)-1-naphtalénamine;70660-55-8;
Butyltricyclohexylstannan;7067-44-9;
"2-Butanone, 4-[[[1,2,3,4,4a,9,10,10a- octahydro-1,4a-diméthyl-7-(1-méthyléthyl)-1-phenanthrenyl ]méthyl](3-oxo-3-phenylpropyl)amino]-, [1R-(1?,4aß,10a?)]-";70776-86-2;
1,1,3,3,5,5-Hexaméthyltrisiloxane;70900-21-9;
"Thiol, C8-20, gamma-oméga-perfluoro-, télomères atteints d'acrylamide";70969-47-0;
"2-Naphtalènesulfonic acide, 7 - [4,6-bis [[3- (diéthylamino) propyl] amino] -1,3,5-triazin-2-yl] amino] -4-hydroxy -3 - [4 - (phénylazo) phényl] azo] -, monoacétate (sel)";71032-95-6;
"Cinerin II";121-20-0;204-454-2
"Butanamide, 2,2 '- [((3,3'-diméthoxy [1,1'- biphényl] -4,4'-diyl) bis (azo)] bis [n- (2-méthylphényl) -3-oxo-";7147-42-4;
"2-Naphtalènesulfonic acide, 5 - [[4- (4-cyclohexylphénoxy) -2-sulfophényl] azo] -6 - [(2,6-diméthylphényl) amino] -4-hydroxy-, Disodium sel";71720-89-3;
"2-Naphtalenecarboxylic acide, 4 - [(5-chloro-4-méthyl-2-sulfophényl) azo] -3-hydroxy-, sel de magnésium (1: 1)";71832-83-2;
Arméther;71939-50-9;615-698-8
Artemether;71939-51-0;
Artemether;71963-77-4;
"Acétate de [4-(diméthylamino)phényl]{bis[4-(éthylamino)-3-méthylphényl]}méthylium";72102-55-7;
"Méthylium, [4-(diméthylamino)phényl] bis[4-(éthylamino)-3-méthylphényl]-, chlorure";72102-56-8;
"Chlorure de bis[4-(diméthylamino)phényl][4-(éthylamino)-3-méthylphényl]méthylium";72102-64-8;
"3-({4-Amino-9,10-dioxo-3-[2-sulfonato-4-(2,4,4-triméthyl-2-pentanyl)phénoxy]-9,10-dihydro-1-anthracényl}amino)-2,4,6-triméthylbenzènesulfonate de disodium";72243-90-4;276-516-7
"Pyréthrines I";121-21-1;204-455-8
"Phénol, [[[3-(diméthylamino)propyl]amino]méthyl]-, isobutyléné";72318-87-7;
Felodipine;72509-76-3;
"Acide benzènesulfonique, [(9,10-dihydro-9,10-dioxo- 1,4-anthracènediyl)diimino]bis[(1,1-diméthyléthyl )-, sel de sodium";72749-91-8;
"Méthylium, bis(4-amino-3,5-diméthylphényl) (2,6-dichlorophényl)-, phosphate (1:1)";72812-39-6;
"Acétate de 2-[{4-[(E)-(2-bromo-6-cyano-4-nitrophényl)diazényl]-3-méthylphényl}(butyl)amino]éthyle";72828-63-8;
"Acétate de 2-(butyl{4-[(E)-(2,6-dicyano-4-nitrophényl)diazényl]-3-méthylphényl}amino)éthyle";72828-64-9;
"Sulfate de N,N,N-triméthyl-3-({4-[(4-méthylphényl)amino]-9,10-dioxo-9,10-dihydro-1-anthracényl}amino)propane et de méthyle";72828-93-4;276-896-4
"Chromate(1-), bis[3,5-bis(1,1-diméthyléthyl)-2-hydroxybenzoato(2-)-O1,O2]-, hydrogène";72869-85-3;
"Benzenamine, 4-[(2,6-dichloro-4-nitrophényl) azo]-N-(4-nitrophényl)-";72927-94-7;
"Pyréthrine II";121-29-9;204-462-6
"Methanesulfonamide, N-[2-[(2,6-dicyano-4-méthylphényl) azo]-5-(dipropylamino)phényl]-";72968-82-2;
"Biscarbonate de ({4-[(E)-(2,6-dichloro-4-nitrophényl)diazényl]-3-méthylphényl}imino)di-2,1-éthanediyle et de diméthyle";73003-64-2;
"Tétraphényloléthane glycidyl éther";7328-97-4;
"Pyridine, 4-(3-chloro-5-propylphényl)-";73398-86-4;
"Pyridine, 4-(4-chloro-3-propylphényl)-";73398-87-5;
"3-Pyridinecarbonitrile, 5-[(9,10-dihydro-9,10-dioxo- 1-anthracenyl)azo]-2,6-bis[(2-méthoxyéthyl)amino ]-4-méthyl-";73398-96-6;
"3-Pyridinecarbonitrile, 5-[[4-[(2,6-dichloro-4-nitrophényl) azo]-2,5-diméthoxyphényl]azo]-2,6-bis[(2 -méthoxyéthyl)amino]-4-méthyl-";73528-78-6;
"9,10-Anthracenedione, 1-[(5,7-dichloro-1,9-dihydro- 2-methyl-9-oxopyrazolo[5,1-b]quinazolin-3-yl)azo ]-";74336-60-0;
"Acide (2R,4R)-1-[N5-(diaminométhylène)-N2-{[(3R)-3-méthyl-1,2,3,4-tétrahydro-8-quinoléinyl]sulfonyl}-L-ornithyl]-4-méthyl-2-pipéridinecarboxylique";74863-84-6;
Miconazole;75319-47-0;
Argatroban;121785-71-5;687-697-0
Perméthrine;75497-64-2;
Isradipine;75695-93-1;
Leflunomide;75706-12-6;
"Benzyltriphénylphosphonium, sel avec (trifluoro-2,2,2 (trifluorométhyl)-1éthylidène)-4,4' bis(phénol)1:1";75768-65-9;278-305-5
"Acide benzénesulfonique, oxybis [(1,1,3,3-tétraméthylbutyl) -, sel dipotassium";75908-83-7;
"Bromocrésol vert";76-60-8;
"(5) -1-Méthyl-4- (1-méthylvinyl) cyclohexen";7705-14-8;
"Acide ursolique";77-52-1;
"Éthinyle estradiol";77538-56-8;
Argatroban;78238-51-4;
N-(4-Acétamidophényl)-4-[(E)-(5-carbamoyl-2-chlorophényl)diazényl]-3-hydroxy-2-naphtamide;12236-64-5;235-464-5
"Phosphate de tricrésyl (para-)";78-32-0;
"Butanamide, 2-[[3,3'-dichloro-4'-[[1- [[(2-chlorophényl)amino]carbonyl]-2-oxopropyl]azo ][1,1'-biphényl]-4-yl]azo]-N-(2,4-diméthylphényl)- 3-oxo-";78952-70-2;
Kétoconazole;79156-75-5;
"Amines, C18-22-tert-alkyl, (chlorométhyl)phosphonates (2:1)";79357-73-6;
"Acétamide, N-[4-chloro-2-[2-(2-chloro- 4-nitrophényl)azo]-5-[(2-hydroxy-3-phénoxypropyl )amino]phényl]-";79542-46-4;
Fentanyl;80832-90-2;
"Benzenesulfonamide, N-(4-amino-9,10-dihydro-3- méthoxy-9,10-dioxo-1-anthracényl)-4-méthyl-";81-68-5;201-369-2
"Benzenesulfonic acid, 2,2'-[(9,10-dihydro-5,8-dihydroxy- 9,10-dioxo-1,4-anthracènediyl)diimino]bis [5-(1,1-dimethyléthyl)-, sels de sodium";83006-67-1;280-116-8
"Acide 1,7-naphtalènedisulfonique, 6-[[2-(4-cyclohexylphénoxy)phényl]azo]-4-[[(2,4-dichlorophénoxy)acétyl]amino]-5-hydroxy-, sel disodique";83027-51-4;
"Diacétate de ({2-acétamido-3-[(2-bromo-4,6-dinitrophényl)diazényl]-5-éthoxyphényl}imino)di-2,1-éthanediyle";12239-34-8;235-475-5
"Acide 1,7-naphtalènedisulfonique, 6-[[2-(2-cyclohexylphénoxy)phényl]azo]-4-[[(2,4-dichlorophénoxy)acétyl]amino]-5-hydroxy-, sel disodique";83027-52-5;
"Acétamide, N-[2-[(2-bromo-6-cyano-4- nitrophényl)azo]-5-(dipropylamino)phényl]-";83249-47-2;
"Benzonitrile, 3-bromo-2-[[4-(diéthylamino) -2-méthylphényl]azo]-5-méthyl-";83249-49-4;
"Méthanesulfonamide, N-[2-[(2-bromo-6-cyano-4- méthylphényl)azo]-5-(diéthylamino)phényl]-";83249-53-0;
"Méthanesulfonamide, N-[2-[(2-bromo-6-cyano-4- méthylphényl)azo]-5-(dipropylamino)phényl]-";83249-54-1;
"Méthanesulfonamide, 1-chloro-N-[2,3,4-trichloro- 6-(2,4-dichlorophénoxy)phényl]-, sel de sodium";83721-47-5;
"Méthanesulfonamide, 1-chloro-N-[2,3,4,5-tétrachloro- 6-(2,4-dichlorophénoxy)phényl]-, sel de sodium";83721-48-6;
"9,10-Anthracenedione, 1-amino-4-[[3-[(diméthylamino) méthyl]phényl]amino]-, monoacétate";83968-86-9;
"1-Phénylazo-2-naphthol C.I. Solvant Jaune 14";842-07-9;212-668-2
1-[(2-méthoxyphényl)azo]-2-naphtol;1229-55-6;214-968-9
Raloxifène;84449-90-1;686-786-1
"2-Naphthalènecarboxamide, 4-[(2,4-dinitrophényl)azo]-3-hydroxy-N-phényl-";85005-63-6;
"Xanthylium, 9-(2-carboxyphényl)-3,6-bis(diéthylamino)-, sel avec l'acide mono-C10-14-alkylbenzènesulfonique (1:1)";85186-47-6;
Ofloxacine;85344-55-4;
"3-Pyridinecarbonitrile, 5-[[2-chloro-4-(phénylazo) phényl]azo]-2,6-bis[(3-méthoxypropyl)amino]-4-méthyl -";85392-21-8;
"3H-Indol-3-one, 5,7-dibromo-2-(5-bromo-7- chloro-1,3-dihydro-3-oxo-2H-indol-2-ylidène)-1,2-dihydro -";85702-64-3;
"2,9,11,13-Tétraazanonadécanethioic acid, 19-isocyanato-11-(6-isocyanatohéxyl)-10,12-dioxo-, S-[3-(triméthoxysilyl)propyl] ester";85702-90-5;402-290-8
"2-Naphtalénol, 1 - [[4- (phénylazo) phényl] azo] -";85-86-9;
"Acides résiniques et acides colophaniques fumaratés, sels de baryum";124751-15-1;
Félodipine;86189-69-7;
"Butanamide, 2- [2,4-bis (1,1-diméthylpropyl) phénoxy] -N- [4- (2-formylhydrazino) phényl] -";86551-61-3;
"Benzamide, 3,5-dibromo-n- (4-bromophényl) -2-hydroxy-";87-10-5;
Isradipine;88977-22-4;
Tropisetron;89565-68-4;
"Acide benzénesulfonique, 5-amino-2,4-diméthyl-, diazotisé, couplé avec du 2,4, 2,5 et 2,6-xylidine diazotisé et 4 - [(2,4-dihydroxyphényl) azo] acide benzénesulfonic, sels de sodium";90218-20-5;
"Sel d'acide carbonique pour disodium, produits de réaction avec de l'aniline, de la 4-nitrobenzénamine, de la p-phénylènediamine, du sulfure de sodium, du soufre et de la p-toluidine";90268-98-7;290-904-3
"2,7-Naphtalnenenedisulfonic acide, 5-amino-4-hydroxy-3 - [[6-sulfo- 4 - [(4-sulfo-1-naphtalényl) azo] -1-naphtalényl] azo] -, diazotisé, couplé à 4-nitrobenzénamine diazotisée et résorcinol, sels de sodium de potassium";90459-02-2;
"3-Pyrinecarbonitrile, 1-butyl-5 - [[4- (4-chlorobenzoyl) -2-nitrophényl] azo] -1,2-dihydro-6-hydroxy-4 -méthyl-2-oxo-oxo";90729-40-1;
Ebastine;90729-43-4;
4,4'-(1,1-Dioxydo-3H-2,1-benzoxathiole-3,3-diyl)bis(2,5-diméthylphénol);125-31-5;204-736-5
Terbinafine;91161-71-6;618-706-8
"Acide [2,6'-Bibenzothiazole]-7-sulfonique, 2'-(4-aminophényl)-6-méthyl-, diazoté, couplé à l'acide 4-aminobenzènesulfonique diazoté et au résorcinol, sels de sodium";91696-90-1;
"2-Naphthalènecarboxamide, N-(5-chloro-2,4-diméthoxyphényl)-3-hydroxy-";92-72-8;202-182-9
"2-Naphthalènecarboxamide, N-(4-chloro-2-méthylphényl)-3-hydroxy-";92-76-2;
"Acide naphtalènesulfonique, produits de réaction avec le formaldéhyde et l'acide hydroxybenzènesulfonique, sels d'ammonium";93384-84-0;
Perméthrine;93388-66-0;
"Phénol, 4-[[2-méthoxy-4-[(2-méthoxyphényl) azo]-5-méthylphényl]azo]-";93805-00-6;
"Carbamic acid, cyclohexyl-, nitrilotri-2,1-éthanediyl ester";93918-79-7;
Atovaquone;94015-53-9;
"2-Naphthalènecarboxamide, N-(2-éthoxyphényl)-3-hydroxy- 4-[(2-nitrophényl)azo]-";94199-57-2;
"4,4'-Isopropylidènediphénol, produits de reaction avec l'hexakis(méthoxyméthyl)mélamine";125328-28-1;
"Méthanesulfonamide, 1-chloro-N-(2-phénoxyphényl)-, dérivé pentachloro, sel de sodium";94248-26-7;
"Benzène, 1,2,3,4-tétrachloro-5,6-diméthoxy-";944-61-6;
Atovaquone;95233-18-4;
"Phénol, 4,4'-thiobis [2- (1,1-diméthyléthyl) -6-méthyl-";96-66-2;
Orlistat;96829-58-2;
Finastéride;98319-26-7;
4,4'-Bromo-octafluorobiphényl;10386-84-2;233-847-1
Chlorbicyclène;2550-75-6;634-787-2
Diéthoxy(1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-én-2-yl)méthylsilane;18106-12-2;242-003-1
Dibromo-chlordène;18300-04-4;242-183-1
"9,10-Anthracènedione, 1,4-bis[(4-méthylphényl)amino]-, sulfonée, sels de potassium";125351-99-7;639-519-8
Fletazepam;34482-99-0;
Perfluamine;338-83-0;206-420-2
Octadécafluorodécahydronaphtalène;306-94-5;206-192-4
Destruction;67-81-2;
Énoxolone;471-53-4;206-420-2
N,N-Bis(2-hydroxyéthyl)-4-((4,4,5,5,5-pentafluoro-3-(pentafluoroéthyl)-1,2,3-tris(trifluorométhyl)pent-1-enyl)oxy)benzènesulphon;93819-97-7;
Dichloro(1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-én-2-yl)méthylsilane;18291-67-3;242-164-8
"1,1,2,3,3,3-Hexafluoro-2-(Trifluorométhyl)Propane-1-Sulphonic Anhydride";93894-52-1;
"Potassium N-((heptadecafluorooctyl)sulphonyl)-N-méthylglycinate";70281-93-5;
"Acétate de 2-[(2-cyanoéthyl){4-[(E)-(6,7-dichloro-1,3-benzothiazol-2-yl)diazényl]phényl}amino]éthyle";127126-02-7;
"1-Heptanesulfonamide, N-Éthyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadecafluoro-N-[3-(Triméthoxysilyl)Propyl]-";68239-75-8;
"Glycine, N-éthyl-N-[(pentadécafluoroheptyl)sulfonyl]-, sel de potassium";67584-62-7;
"Glycine, N-éthyl-N- (pentadécafluoroheptyl)sulfonyl -";68957-63-1;
"Glycine, N-éthyl-N- (heptadécafluorooctyl)sulfonyl -";2991-50-6;221-061-1
"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadécafluoro-N-(4-Hydroxybutyl)-N-Méthyl-";68298-89-5;
"Acide Nesulfinique, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadécafluoro-, Sel de Sodium";68555-67-9;
Tétrachloro-DDT;68631-02-7;
beta-Dihydroheptachlore;14168-01-5;
"1-Octanesulfonamide, N-éthyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[3-(triméthoxysilyl)propyl]-";61660-12-6;
"Propanoyl fluoride, 2,3,3,3-tétrafluoro-2-(1,1,2,3,3,3-hexafluoro-2-(1,1,2,2-tétrafluoro-2-(fluorosulfonyl)éthoxy)propoxy";4089-58-1;
Saquinavir;127779-20-8;
"1-Heptanesulfonamide, N-Butyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadecafluoro-N-(2-Hydroxyéthyl)-";68310-02-1;
Triéthoxy(1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-én-2-yl)silane;18052-83-0;241-963-9
1,1'-Sulfanediylbis(pentafluorobenzène);1043-50-1;213-874-5
"Sodium 4-((1,3,4,5,5,5-hexafluoro-1-(pentafluoroéthyl)-2,4-bis(trifluorométhyl)-2-pentenyl)oxy)benzenesulphonate";85284-15-7;
"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(4-hydroxybutyl)-N-méthyl-";68239-73-6;
"1,4-Méthanobenzocyclooctene, 7,8-dibromo-1,2,3,4,11,11-hexachloro-1,4,4a,5,6,7,8,9,10,10a-decahydro-";51936-55-1;
Heptadecafluoro-N,N-bis(2-hydroxyéthyl)octanesulphonamide;40630-61-3;
"Potassium N-Propyl-N-[(Tridecafluorohéxyl)Sulphonyl]Glycinate";85665-66-3;
"Diammonium 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodécyl phosphate";93857-44-4;
N-[3-(Diméthylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadécafluoro-1-octanesulfonamide;13417-01-1;236-513-3
Cyproheptadine;129-03-3;204-928-9
"Sodium 4-[1,1,1,5,5,6,6,6-octafluoro-4-(1,1,2,2,2-pentafluoroéthyl)-3,4-bis(trifluorométhyl)hex-2-en-2-yl]oxybenzenesulfate";52584-45-9;
N,N-Dibutylbutan-1-amine;70729-63-4;
Trichloro(1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-én-2-yl)silane;18134-58-2;242-019-9
1,2,3,4,5,6-Hexachloro-7-méthoxynaphtalène;1506-15-6;216-135-5
"Sodium 4-((1,4,4,5,5,5-hexafluoro-1,2,3-tris(trifluorométhyl)-2-pentenyl)oxy)benzènesulphonate";94042-94-1;
"1-Heptanesulfonamide, N- 3-(Diméthylamino)Propyl -1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-Pentadecafluoro-";67584-54-7;
"Glycine, N-éthyl-N-[(tridécafluorohexyl)sulfonyl]-, sel de potassium";67584-53-6;
"Glycine, N-éthyl-N- (tridecafluorohexyl)sulfonyl -";68957-32-4;
"2-Propenoic acid, 2-methyl-, 2- méthyl (pentadecafluoroheptyl)sulfonyl amino ethyl ester";67939-96-2;
"2-Propenoic acid, 2- méthyl (pentadecafluoroheptyl)sulfonyl amino éthyl ester";68084-62-8;
"Hydrocarbures, C12-25, distillats d'huiles lubrifiantes usagées déshydratées";129566-94-5;
"1,1,2,2,3,3,4,4-Octafluorobutane-1-sulphonic anhydride";93894-55-4;
"1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohéxane-1-sulphonyl chloride";55591-23-6;
"2-Propenoic acid, 2-  (2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononyl)sulfonyl méthylamino éthyl ester";66008-69-3;
"Sodium 4-((1,3,4,4,5,5,5-heptafluoro-2-(2,2,3,3,3-pentafluoro-1-(pentafluoroéthyl)-1-(trifluorométhyl)propyl)-3-(trifluorothyl)-";94042-95-2;
1-(2-(2-Butoxyéthoxy)éthoxy)-4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluorométhyl)undecan-2-ol;94158-62-0;
"2-Propenoic acid, 2- éthyl (pentadécafluorohéptyl)sulfonyl amino éthyl ester";59071-10-2;
"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridécafluoro-N-(4-hydroxybutyl)-N-méthyl-";68239-74-7;
1-(2-(2-Butoxyéthoxy)éthoxy)-4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadécafluoroundecan-2-ol;94158-61-9;
"1,3-Di (trichlorométhyl) benzène";881-99-2;
"2-Propenoic acid, 2-méthyl-, 2- éthyl (tridécafluorohexyl)sulfonyl amino éthyl ester";67906-70-1;
4,4'-[2,2-Propanediylbis(4,1-phénylèneoxy)]dianiline;13080-86-9;235-985-8
"N-Propyl-N-((heptadécafluorooctyl)sulfonyl)glycine, sel de potassium";55910-10-6;
"[4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadécafluoro-2-hydroxy-10-(trifluorométhyl)undécyle] prop-2- enoate";24407-09-8;246-231-2
Décafluorobiphényl;434-90-2;
1,1'-Méthylènebis(2,4,5-trichlorobenzène);2888-15-5;220-754-6
"Fluorure de 1,1,2,2-tétrafluoro-2-({1,1,1,2,3,3-hexafluoro-3-[(trifluorovinyl)oxy]-2-propanyl}oxy)éthanesulfonyle";16090-14-5;240-249-4
"Pipéridine, 1-(3-(3,5-bis(trifluorométhyl)phényl)-2-propynyl)-4-(1,1-diméthyléthyl)-, hydrochloride";81613-60-7;
Pentachloro(2,3-dibromopropoxy)benzène;42115-16-2;
"2-Propenoic acid, 2-méthyl-, 4- methyl (tridecafluorohéxyl)sulfonyl amino butyl ester";67939-61-1;
Bis[4-(diméthylamino)phényl]{4-[méthyl(phényl)amino]-1-naphtyl}méthanol;1325-85-5;215-408-6
"p-((Undécafluorohéxènyl)oxy)benzenesulphonyl chloride";59493-82-2;
"2-Propenoic acid, 2-méthyl-, 2- méthyl (tridecafluorohexyl)sulfonyl amino éthyl ester";67584-61-6;
1,1,1,2,2,3,4,5,5,5-Décafluoro-3-(1,2,2,2-tétrafluoro-1-(trifluorométhyl)éthyl)-4-(trifluorométhyl)pentane;50285-18-2;
Heptadécafluoro-N-(2-hydroxyéthyl)-N-propyloctanesulphonamide;4236-15-1;
"4-(Méthyl((tridécafluorohéxyl)sulphonyl)amino)butyl acrylate";68227-98-5;
